date,VOO,VEA,SHY,IJR,MUB,SPTL,SCHP,LQD,HYG,SPEM,MBB,BNDX,SCZ
6/4/13,127.572548,28.804085,78.062866,40.172989,87.754005,26.924013,47.928761,88.648407,59.227245,26.321527,79.340012,41.471653,34.781052
6/5/13,125.616463,28.159218,78.072128,39.659473,87.949722,27.204048,47.945904,88.519325,58.714241,25.873936,79.598915,41.521126,34.132126
6/6/13,126.60302,28.320438,78.062866,40.004768,88.153648,27.191879,47.903027,88.89904,59.17593,25.980703,79.687668,41.463409,34.298309
6/7/13,128.371994,28.650555,78.053604,40.332344,87.917137,26.786024,47.594254,88.549683,59.21442,25.980703,79.672844,41.380981,34.583202
6/10/13,128.320984,28.665903,78.025871,40.562538,87.37886,26.631807,47.336937,88.276299,59.09259,25.672729,79.576714,41.084148,34.733559
6/11/13,127.0112,28.305077,78.01664,40.137573,87.721382,26.891541,47.24258,88.109169,58.727081,25.167656,79.473175,41.075905,34.068798
6/12/13,126.024658,28.289724,78.007347,39.814411,86.881348,26.627739,46.91666,87.805382,58.771942,24.995188,79.473175,41.240803,34.092552
6/13/13,127.844719,28.727314,78.044395,40.46957,87.45224,26.944309,47.216854,88.747124,59.44529,25.315483,79.317833,41.100628,34.599037
6/14/13,127.062263,28.389536,78.099892,40.150848,87.509338,26.968668,47.234013,88.686363,59.515827,25.040358,79.340012,41.199581,34.322052
6/17/13,128.082855,28.796415,78.099892,40.416458,87.27282,26.818489,47.053902,88.557281,59.509392,25.299051,79.628456,41.23254,34.868099
6/18/13,129.069412,28.972982,78.099892,40.894543,86.865044,26.81443,47.173981,88.382599,59.656887,25.266201,79.43618,41.166588,35.137165
6/19/13,127.351425,28.44327,78.007347,40.412029,86.408348,26.704857,46.599308,87.129433,58.765522,24.724173,79.066399,41.06765,34.599037
6/20/13,124.119583,27.383833,77.998123,39.438126,84.883232,26.144791,46.067535,85.929459,58.188385,23.54155,78.851875,40.935745,33.435699
6/21/13,124.510796,27.475977,77.933395,39.593075,83.423393,25.738935,45.5186,85.223068,57.810059,24.008909,78.785271,40.853298,33.68895
6/24/13,122.936333,27.004322,77.896408,39.097275,82.656754,25.803875,45.312737,84.668701,57.098263,23.451242,78.689133,40.836807,33.016273
6/25/13,124.167168,27.394108,77.887131,39.451408,83.855621,25.592836,45.449978,84.949646,57.912651,23.958971,78.563454,40.704865,33.443626
6/26/13,125.329689,27.518845,77.924149,39.592613,85.60907,25.730818,45.647255,85.59523,58.39362,24.233639,78.616058,40.688385,33.293262
6/27/13,126.167412,27.815088,77.970322,40.271954,86.359406,26.002724,46.041813,86.369965,58.675785,24.728886,78.742165,40.787346,33.667881
6/28/13,125.381012,27.75271,77.961105,40.098793,85.666183,26.039274,46.153309,86.316719,58.278198,24.807957,78.616058,40.737854,33.643826
7/1/13,126.321304,28.033363,77.995338,40.720413,86.392998,26.212561,46.264805,86.540001,58.59409,24.978592,78.682838,40.823708,34.012821
7/2/13,126.133202,27.89304,78.004608,40.755924,86.409332,26.245094,46.410606,86.814339,58.413563,24.56242,79.053719,40.790695,33.99678
7/3/13,126.252914,27.885244,77.995338,40.78257,85.877914,26.151531,46.33342,86.562866,58.548946,24.491665,79.053719,40.92276,34.085022
7/5/13,127.654701,28.002172,77.912056,41.42194,84.553467,25.289181,45.664417,85.465691,57.923607,24.266939,78.927658,40.724651,34.25349
7/8/13,128.321457,28.15029,77.967613,41.546265,84.945885,25.549509,45.947441,86.166656,58.72298,24.258614,79.038918,40.848465,34.542271
7/9/13,129.29599,28.32181,77.958321,42.016911,85.19931,25.525103,45.947441,86.242859,58.755253,24.445892,79.001808,40.881489,34.758862
7/10/13,129.330139,28.376373,77.958321,42.087952,85.076714,25.362402,45.844521,85.991417,58.987335,24.508312,79.320793,40.897995,34.750843
7/11/13,131.159363,29.155939,78.023071,42.478706,85.853378,25.638998,46.067535,87.004791,59.728714,25.369787,79.172455,40.955772,35.745552
7/12/13,131.193558,28.992237,77.976837,42.563057,86.245834,25.537306,46.187618,86.760986,59.670658,25.199163,79.261429,40.914463,35.625221
